,incorrect_image_paths,correct_image_paths,correct_identified_image_indicies,incorrect_image_indicies
63,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_nw_11_060_20180723_000379.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008135_se_17_060_20191119_000379.jpg,1115,156
64,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909006_sw_15_060_20190707_000159.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909006_sw_15_060_20190707_000165.jpg,466,57
65,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_nw_11_060_20180723_000107.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008135_se_17_060_20191119_000107.jpg,1110,212
66,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909006_sw_15_060_20190707_000157.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909006_sw_15_060_20190707_000163.jpg,464,15
67,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_sw_17_060_20191129_000312.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000324.jpg,253,313
68,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909006_sw_15_060_20190707_000182.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909006_sw_15_060_20190707_000189.jpg,468,115
69,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909006_sw_15_060_20190707_000183.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909006_sw_15_060_20190707_000190.jpg,469,159
70,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_sw_17_060_20191129_000386.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000401.jpg,261,83
71,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_sw_15_060_20190726_000297.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\al_60cm_2019_30088_m_3008824_ne_16_060_20191115_000309.jpg,843,193
72,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_sw_17_060_20191129_000313.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000325.jpg,254,129
73,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_37122_m_3712205_se_10_060_20180723_000177.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909008_se_15_060_20190707_000184.jpg,1236,127
74,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_sw_15_060_20190726_000370.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\al_60cm_2019_30088_m_3008824_ne_16_060_20191115_000385.jpg,850,241
75,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909006_sw_15_060_20190707_000134.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909006_sw_15_060_20190707_000139.jpg,463,229
76,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_sw_15_060_20190726_000320.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\al_60cm_2019_30088_m_3008824_ne_16_060_20191115_000333.jpg,846,151
77,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909008_se_15_060_20190707_000152.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008136_sw_17_060_20191119_000152.jpg,493,32
78,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909008_se_15_060_20190707_000224.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008136_sw_17_060_20191119_000224.jpg,497,311
79,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_sw_17_060_20191129_000268.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000278.jpg,246,289
80,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_sw_15_060_20190726_000174.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\al_60cm_2019_30088_m_3008824_ne_16_060_20191115_000181.jpg,837,223
81,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_sw_15_060_20190726_000151.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\al_60cm_2019_30088_m_3008824_ne_16_060_20191115_000157.jpg,835,101
82,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_sw_15_060_20190726_000298.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\al_60cm_2019_30088_m_3008824_ne_16_060_20191115_000310.jpg,844,119
83,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_sw_15_060_20190726_000199.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\al_60cm_2019_30088_m_3008824_ne_16_060_20191115_000207.jpg,840,303
84,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_sw_15_060_20190726_000394.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\al_60cm_2019_30088_m_3008824_ne_16_060_20191115_000410.jpg,852,137
85,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_37122_m_3712205_ne_10_060_20180723_000188.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\fl_60cm_2019_27082_m_2708205_sw_17_060_20191129_000195.jpg,1225,92
86,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_37122_m_3712205_ne_10_060_20180723_000115.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\fl_60cm_2019_27082_m_2708205_sw_17_060_20191129_000119.jpg,1218,241
87,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_37122_m_3712205_ne_10_060_20180723_000091.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\fl_60cm_2019_27082_m_2708205_sw_17_060_20191129_000094.jpg,1216,81
88,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_37122_m_3712205_ne_10_060_20180723_000163.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\fl_60cm_2019_27082_m_2708205_sw_17_060_20191129_000169.jpg,1222,114
89,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008144_nw_17_060_20191119_000476.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\fl_60cm_2019_27082_m_2708205_nw_17_060_20191129_000495.jpg,669,86
90,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008144_nw_17_060_20191119_000500.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\fl_60cm_2019_27082_m_2708205_nw_17_060_20191129_000520.jpg,671,289
91,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909063_nw_15_060_20190830_000265.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000265.jpg,580,128
92,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_sw_11_060_20180723_000485.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\la_60cm_2019_29090_m_2909006_nw_15_060_20190707_000485.jpg,1166,359
93,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000312.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\la_60cm_2019_29089_m_2908901_sw_16_060_20190707_000324.jpg,528,169
94,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000084.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\la_60cm_2019_29089_m_2908901_sw_16_060_20190707_000087.jpg,513,334
95,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_37122_m_3712205_ne_10_060_20180723_000189.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\fl_60cm_2019_27082_m_2708205_sw_17_060_20191129_000196.jpg,1226,287
96,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000313.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\la_60cm_2019_29089_m_2908901_sw_16_060_20190707_000325.jpg,529,131
97,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000121.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\la_60cm_2019_29089_m_2908901_sw_16_060_20190707_000125.jpg,527,304
98,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_37122_m_3712205_ne_10_060_20180723_000139.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\fl_60cm_2019_27082_m_2708205_sw_17_060_20191129_000144.jpg,1219,146
99,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000066.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\la_60cm_2019_29089_m_2908901_sw_16_060_20190707_000068.jpg,509,126
100,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000113.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\la_60cm_2019_29089_m_2908901_sw_16_060_20190707_000117.jpg,523,122
101,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311815_sw_11_060_20180723_000055.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\la_60cm_2019_29090_m_2909002_nw_15_060_20190707_000055.jpg,1186,174
102,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008144_nw_17_060_20191119_000501.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\fl_60cm_2019_27082_m_2708205_nw_17_060_20191129_000521.jpg,672,105
103,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311815_sw_11_060_20180723_000082.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\la_60cm_2019_29090_m_2909002_nw_15_060_20190707_000082.jpg,1193,107
104,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311815_sw_11_060_20180723_000011.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\la_60cm_2019_29090_m_2909002_nw_15_060_20190707_000011.jpg,1182,325
105,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000021.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\la_60cm_2019_29089_m_2908901_sw_16_060_20190707_000021.jpg,499,276
106,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000090.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\la_60cm_2019_29089_m_2908901_sw_16_060_20190707_000093.jpg,518,79
107,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311815_sw_11_060_20180723_000036.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/group_unreviewed_unverfied_images/chips_positive\la_60cm_2019_29090_m_2909002_nw_15_060_20190707_000036.jpg,1185,284
